0.04,JHr10,VM10
0.04,JHr10,VM13
0.04,JHr10,ChW4
0.04,JHr10,RdR56
0.04,JHr10,NT70
0.04,JHr10,JqA10
0.04,JHr10,RZL20
0.04,JHr10,ChW12
0.04,JHr10,ChR13
0.04,JHr10,RZL37
0.04,JHr10,VM4
0.04,JHr10,VF39
0.04,JHr10,StD4
0.04,JHr10,BBe17
0.04,JHr10,VF43
0.04,JHr10,RTh27
0.04,JHr10,RM16
0.04,JHr10,LeK10
0.04,JHr10,VM3
0.08,JHr10,StD7
0.08,JHr10,GSy10
0.1,ADx45,JJA10
0.1,ADx45,ACv10
0.1,BdP10,RW1
0.1,BdP10,WlD36
0.1,BdP10,H73
0.1,BdP10,ALe2
0.1,DRa10,GAv10
0.1,DRa10,UNS
0.1,IMT22,MF8
0.1,RZe20,JoD15
0.2,AA13,HH15
0.2,AKe5,PM12
0.2,AKe5,TGi28
0.2,AKe5,JaB2
0.2,AKe5,PWr12
0.2,AKe5,MBr19
0.2,CaR20,IH1
0.2,CaR20,ElN15
0.2,CaR20,HH28
0.2,CaR20,KV40
0.2,CrR10,H27
0.2,DBo10,StK9
0.2,GAd5,FF6
0.2,GAd5,TRs12
0.2,GAd5,CD8
0.2,JoF1,MS21
0.2,RZe20,RHo29
0.25,DME10,MRt7
0.25,DME10,BLv10
0.25,DME10,Z9010
0.25,DME10,PAR10
0.25,PnM10,RNe10
0.25,PnM10,MF5
0.25,PnM10,BLe6
0.3,AL27,C127
0.3,DMa10,FC24
0.3,DMa10,HAs3
0.3,FLg10,WW66
0.3,FLg10,RD4
0.3,FLg10,GRo1
0.3,HCP28,CoB3
0.3,IMT22,BsK42
0.3,JC10,JC1
0.3,JC10,ML2
0.3,JoF1,LMa8
0.3,MB4,JW2
0.3,MB4,WA4
0.3,NiM5,GPl10
0.3,RZe20,StK8
0.4,IMT22,FZe15
0.4,RZe20,SS7
0.5,AA13,LuB20
0.5,CSr10,CDM15
0.5,KeA34,KeA31
0.5,KeA34,BE12
0.6,AL27,RWi1
0.6,BdP10,TFi20
0.6,HCP28,WR120
0.6,NiM5,H9
0.9,CPR10,C112
0.9,DBd10,WW46
