0.04,JHr10,VM10
0.04,JHr10,VM13
0.04,JHr10,ChW4
0.04,JHr10,RdR56
0.04,JHr10,NT70
0.04,JHr10,JqA10
0.04,JHr10,RZL20
0.04,JHr10,ChW12
0.04,JHr10,RRw5
0.04,JHr10,ChR13
0.04,JHr10,RZL37
0.04,JHr10,VM4
0.04,JHr10,VF39
0.04,JHr10,StD4
0.04,JHr10,BBe17
0.04,JHr10,VF43
0.04,JHr10,RTh27
0.04,JHr10,RM16
0.04,JHr10,LeK10
0.04,JHr10,VM3
0.05,FFC26,RoV5
0.08,JHr10,StD7
0.08,JHr10,GSy10
0.1,ADx45,JJA10
0.1,ADx45,ACv10
0.1,BdP10,RW1
0.1,BdP10,WlD36
0.1,BdP10,H73
0.1,BdP10,ALe2
0.1,BdP17,H65
0.1,CaR35,Jas44
0.1,CC77,RC10
0.1,CJ4,RWi31
0.1,DBy10,AtR10
0.1,DRa10,GAv10
0.1,DRa10,UNS
0.1,FFC26,TFi15
0.1,H26,MLR8
0.1,H61,EK3
0.1,H69,LO12
0.1,HNe17,Z7310
0.1,IMT22,MF8
0.1,JDr10,CTB10
0.1,JSb3,WWn35
0.1,LaK18,HHa54
0.1,LaK18,IF112
0.1,MCJ12,CBm10
0.1,RZe20,JoD15
0.1,TFi24,TFi20
0.1,TiB17,DCh10
0.15,BdP25,TYg25
0.15,FFC26,WW45
0.15,MiJ12,H27
0.18,FrF35,WR60
0.2,AA13,HH15
0.2,AKe5,PM12
0.2,AKe5,TGi28
0.2,AKe5,JaB2
0.2,AKe5,PWr12
0.2,AKe5,MBr19
0.2,BdP17,H51
0.2,BdP25,MP35
0.2,BdP25,H73
0.2,BSc28,AdL10
0.2,CaR20,IH1
0.2,CaR20,ElN15
0.2,CaR20,HH28
0.2,CaR20,KV40
0.2,CaR35,PVh20
0.2,CH5,GPa2.
0.2,ChV26,ChV20
0.2,CrR10,H27
0.2,DBo10,StK9
0.2,DL5,StW9
0.2,FBr50,FeF12
0.2,FF6,PFo10
0.2,Fro28,CDM59
0.2,GAd5,FF6
0.2,GAd5,TRs12
0.2,GAd5,CD8
0.2,GM210,ElN8
0.2,GvS5,OW11
0.2,HBH60,LlB50
0.2,InA1,GPa2
0.2,ISt24,IF98
0.2,IvY10,IPa10
0.2,JBH10,StK7
0.2,JTM10,ISt29
0.2,JlC10,RdR32
0.2,JoD5,RCoxx
0.2,JoF1,MS21
0.2,LaK18,IF98
0.2,LMa4,FF7
0.2,MkP1,RoP2
0.2,MkP1,CR17
0.2,MkP1,MP35
0.2,PDu3,RSt344
0.2,PHz10,SeC10
0.2,PTa50,DWG52
0.2,PWr14,H27
0.2,RC10,CC43
0.2,RHa4,SG30
0.2,RiF22,ASj30
0.2,RS3,MP19
0.2,RZe20,RHo29
0.2,SS7,FT18
0.2,TiB17,TiB15
0.2,TWh45,FTu7
0.2,WA25,VM10
0.2,JoD5,RCo37
0.25,DME10,MRt7
0.25,DME10,BLv10
0.25,DME10,Z9010
0.25,DME10,PAR10
0.25,H83,H27
0.25,JRu5,JRu2
0.25,JRu5,GyM20
0.25,PnM10,RNe10
0.25,PnM10,MF5
0.25,PnM10,BLe6
0.3,ADx35,WA9
0.3,AkK20,StH5
0.3,AkK28,PeB6
0.3,AL27,C127
0.3,BaD28,OW7
0.3,BdP21,SE4
0.3,BE20,H52
0.3,BF6,BE7
0.3,BSc28,InB27
0.3,C127,HAA10
0.3,CaR5,OW1
0.3,CDr10,JC1
0.3,CHa20,AdL10
0.3,CNo1,H48
0.3,DBo12,FC25
0.3,DMa10,FC24
0.3,DMa10,HAs3
0.3,FC23,S13
0.3,FF6,FF2
0.3,FJS18,H34
0.3,FLg10,WW66
0.3,FLg10,RD4
0.3,FLg10,GRo1
0.3,FrC1,FC28
0.3,GeM2,PBa3
0.3,GgL3,AkK14
0.3,GiA30,JR25
0.3,GPa2,CDM59
0.3,GRH8,GRH6
0.3,GRo1,HHH1
0.3,GyM20,AA13
0.3,H49,H27
0.3,H61,H27
0.3,H69,H27
0.3,H69,LoK50
0.3,HbR4,C127
0.3,HCP28,CoB3
0.3,HDl10,CC78
0.3,HH9,W3
0.3,HH13,LlB21
0.3,HH25,DvH10
0.3,HK92,VF44
0.3,HWx45,OP8
0.3,ICr40,IH1
0.3,ICr40,HH27
0.3,IH16,EP1
0.3,IMT22,BsK42
0.3,InB16,JR70
0.3,IvR6,GM210
0.3,JC10,JC1
0.3,JC10,ML2
0.3,JCa9,TYg18
0.3,JDB10,JaS46
0.3,JiA1,HaB9
0.3,JKp32,AdL10
0.3,JlC11,StK15
0.3,JLG16,NR10
0.3,JLp1,JR70
0.3,JoF1,LMa8
0.3,JqT14,H31
0.3,JWR9,HHu1
0.3,KuN42,FBu8
0.3,LAl4,GC26
