9,1951,83,0,0,7
12,1997,90,3,5,5
12,1975,75,0,0,5
0,1949,78,0,0,0
0,1935,72,0,0,0
5,1938,65,0,4,4
0,1974,72,2,0,0
3,1963,84,0,0,0
0,1975,83,0,0,0
0,1941,74,0,0,4
13,1951,82,2,5,2
12,1969,75,0,0,5
0,1929,67,2,0,0
0,0,0,0,0,0
9,1940,84,0,0,4
11,1948,65,2,0,4
5,1974,77,0,0,4
14,1990,80,2,5,5
9,1957,77,0,0,0
9,1938,68,0,0,4
5,1976,77,2,0,0
0,1931,87,0,0,0
0,1973,66,0,0,0
1,1933,76,2,5,2
3,1990,90,2,0,5
9,1949,76,2,0,5
9,1940,66,0,0,4
12,1968,82,2,0,7
11,1955,72,0,0,7
0,1993,77,0,0,0
5,1974,65,2,0,0
9,1974,66,0,0,0
0,1946,72,0,0,4
0,1965,67,0,0,0
0,0,0,0,0,0
0,1981,76,0,0,0
0,1995,82,0,1,5
8,1919,87,2,0,3
3,1989,87,2,5,5
0,1982,67,0,0,0
0,1964,66,0,0,0
0,1975,70,0,0,0
9,1951,68,0,0,7
3,1944,82,2,0,4
3,1988,68,2,5,5
5,1992,66,0,0,5
0,1960,72,0,0,0
5,1924,75,2,0,0
0,1993,69,0,0,0
6,1979,78,2,0,5
3,1936,75,0,0,4
9,1944,77,2,5,0
0,1962,70,2,0,0
10,1996,66,0,2,2
16,1968,80,2,0,7
11,1946,66,2,0,4
5,1934,72,2,0,4
0,1994,75,0,0,0
3,1986,65,2,0,5
9,1944,77,0,0,4
5,1989,77,2,5,0
0,1983,70,2,0,0
0,1985,68,3,5,5
0,1952,75,0,0,5
16,1938,67,0,0,7
11,1988,77,2,5,0
0,1968,82,0,0,0
0,1926,72,0,0,0
9,1934,65,3,5,2
3,1959,76,0,0,7
0,0,0,0,0,0
0,1950,82,2,0,2
0,1942,67,2,0,4
3,1949,67,2,5,2
12,1960,80,0,0,0
1,1990,85,2,5,2
14,1986,67,2,0,5
0,1944,76,0,5,2
6,1989,80,2,5,0
0,1981,68,2,0,5
0,1986,83,2,5,5
9,1951,77,0,0,7
9,1954,68,0,0,0
13,1930,67,2,5,0
5,1933,67,2,0,4
0,1997,82,3,5,2
5,1973,87,0,0,0
8,1939,68,0,0,4
14,1935,86,0,0,4
0,1964,65,0,0,0
3,1952,87,0,0,4
9,1949,87,0,0,7
0,1940,87,2,0,4
6,1939,86,0,0,7
0,1938,82,0,0,4
0,1969,65,0,0,0
0,1936,76,0,0,4
3,1915,68,2,5,3
8,1976,82,2,0,0
9,1956,87,0,0,7
0,1983,83,2,0,0
3,1988,66,2,0,5
9,1953,77,0,0,7
3,1991,74,2,0,5
3,1957,70,0,5,4
5,1992,76,2,0,5
5,1966,71,0,5,0
3,1937,66,2,0,4
