JHr10,1974,D:Haley,PN:Daniel Melmick,St:MGM,"col,bnw",Musc,H**,"studio, Hollywood",W(Haley) Nt(compilation of clips) VT(),|
VM10,1951,D:Minnelli,P:Freed,St:MGM,\Tcol,Musc,"AA, H****, AAN dir",,"W(Alan Jay Lerner; AA) C(Al Gilks,John Alton; AA) M(George Gershwin, Ira Gershwin) G(Gene Kelly) V(Cedric Gibbons, Posten Ames) Cost(2724K)",|
VM13,1953,D:Minnelli,P:Freed,St:MGM,\Tcol,Musc,H***,,"W(Adolph Green, Betty Comden; AAN) M(Adolph Deutsch; AAN)",|
ChW4,1949,D:Walters,P:Freed,St:MGM,\Tcol,Muscl,H*,,C(Harry Stradling; AAN),|
RdR56,1938,D:DeLRuth,P:J.Cummings,St:MGM,bnw,Musc,H*,"theater, NYC, NY","W(Jack McGowan, Sid Silvers) M(Nacio Herb Brown, Freed)",|
NT70,1940,D:Taurog,P:J.Cummings,St:MGM,bnw,Musc,H*,"NYC, NY","M(Cole~Porter: Begin the Beguine) W(Schary, Jack McGowan, Leon Gordon, George Oppenheimer)",|
JqA10,1948,D:Audry,PN:Claude Dolbert,St:Codo Cinema,bnw,Romt,H*,"Paris, France",|,
RZL20,1936,D:Leonard,P:Stromberg,St:MGM,bnw,"Musc,BioP","H**, AA, AAN dir",,W(William Anthony McGuire; AAN) Le(3H),|
ChW12,1956,D:Walters,P:S.C.Siegel,St:MGM,\Tcol,Muscl,H,,"M(Cole~Porter, Johnny Green, Saul Chaplin; AAN)",|
ChR13,1929,D:Ch.Reisner,PN:Harry Rapf,St:MGM,"bnw, \Tcol",Musc,,lc,Nt(no story),|
RZL37,1949,D:Leonard,PN:,St:MGM,col,Musc,aw,lc,,|
VM4,1944,D:Minnelli,P:Freed,St:MGM,bnw,Musc,,"5135 Kensington Ave., St.Louis, MO; T(1904)",B(Sally Benson) C(George Foley),|
VF39,1935,D:V.Fleming,P:Selznick,St:MGM,bnw,BioP,H,"Hollywwod, CA",W(Columbus)|,
StD4,1951,D:Donen,P:Freed,St:MGM,\Tcol,Musc,H,"Ocean liner, Atlantic; London, England","M(Burton Lane, Alan Jay Lerner; AAN) VT()",|
BBe17,1940,D:Berkeley,P:Freed,St:MGM,bnw,Musc,H*,"town, IL","M(George Gershwin, Ira Gershwin, Georgie Stoll, Roger Edens; AAN) Seen(7Jul1990) Nt(poorly paced)",|
VF43,1939,D:V.Fleming,P:M.LeRoy,St:MGM,\Tcol,Fant,"H***, AAN, CC\#9","csd, KA; Oz","CoD(K.Vidor) M(Richard Stothart; AA. Yip Harburg, Harold Arlen) C(Harold Rosson) B(L.Frank Baum) W(Noel Lanley)",|
