0,0
1,1
2,2
3,2
4,3
5,4
6,2
7,0
8,5
9,2
10,3
11,2
12,2
13,1
14,6
15,3
16,7
17,3
18,2
19,5
20,5
21,5
22,5
23,5
24,3
25,4
26,5
27,5
28,8
29,0
30,3
31,3
32,3
33,9
34,8
35,3
36,9
37,0
38,1
39,10
40,0
41,11
42,10
43,3
44,3
45,5
46,12
47,6
48,3
49,1
50,0
51,2
52,0
53,2
54,12
55,5
56,9
57,2
58,4
59,8
60,13
61,1
62,2
63,9
64,3
65,10
66,14
67,3
68,2
69,6
70,9
71,3
72,3
73,1
74,0
75,3
76,9
77,2
78,10
79,6
80,9
81,3
82,1
83,2
84,12
85,11
86,8
87,0
88,10
89,8
90,4
91,6
92,0
93,3
94,3
95,4
96,7
97,1
98,8
99,3
100,2
101,8
102,8
103,14
104,3
105,0
106,2
107,3
108,6
109,12
110,8
111,2
112,2
113,14
114,2
115,9
116,9
117,3
118,9
119,2
120,10
121,11
122,2
123,14
124,0
125,1
126,9
127,3
128,12
129,9
130,10
131,5
132,2
133,2
134,3
